date,home_team,away_team,home_score,away_score,yellow_cards,red_cards,fouls,penalties
27 Jun,NZL,BEL,1,5,2,0,17,0
15 Jun,ESP,CPV,0,0,2,0,11,0
17 Apr,AHL,JDT,2,1,9,1,25,0
10 Feb,ITT,GHA,7,0,3,0,23,0
5 Nov,JDT,SHS,3,1,6,0,24,1
18 Oct,AWA,ANA,2,1,7,1,25,0
14 Oct,KSA,IRQ,0,0,6,0,26,0
30 Sep,ITT,SHA,0,1,6,0,20,0
14 Sep,PFC,ACI,3,0,0,0,10,0
31 Aug,SHL,BEI,6,0,7,0,23,0
24 Aug,SHA,TIA,1,1,5,0,18,1
5 Jun,KOR,KGZ,2,2,3,0,21,0
29 Apr,ALH,AHL,1,3,11,1,32,1
20 Mar,AUS,IDN,5,1,0,0,24,2
11 Mar,ALH,PAK,4,0,3,0,24,1
18 Feb,JDT,PST,5,2,3,0,32,1
3 Dec,ALH,GHA,3,0,2,0,18,0
25 Nov,AIN,AHL,1,2,7,0,32,0
14 Nov,BHR,CHN,0,1,3,1,23,0
5 Nov,JDT,UHD,3,0,2,0,23,0
